work_id,title,authors,fandoms,categories,relationships,characters,tags,warnings,rating,language,complete,status,words,nchapters,expected_chapters,comments,kudos,bookmarks,hits,date_published,date_updated,date_edited,series,collections
24639109,Star Trek: Embassy,orphan_account,Star Trek | Star Trek: Deep Space Nine | Star Trek: The Next Generation ,Multi,,Original Male Character(s)|Original Female Character(s)|Original Nonbinary Characters|Original Alien Character(s)|Original Cardassian Character(s), Takes place in during TNG/DS9 | Original Characters - Freeform | Funny moments and serious moments | takes place on earth | LGBTQ Themes | LGBTQ Character,No Archive Warnings Apply,teen and up audiences,en,FALSE,,25194,10,,17.0,21.0,3.0,434,,2020-08-19 00:00:00,,,
53575177,Star Trek Crossing,Kawaoneechan, どうぶつの森 | Animal Crossing Series | Star Trek,No category,,Tanukichi; Tom Nook; Lt. Yor Namere; Mishiranu Neko; Rover,OC's name is Your Name Here | OC's gender is nonspecified | set during TNG season 5 | TNG doesn't factor into it though | Additional Characters to be added | Minor Character Death,No Archive Warnings Apply,General Audiences,English,False,,4074,4,,6.0,22.0,2.0,446,,2/14/26,,,
34024678,Star Trek: Argos,TheodoreHawkwood,Star Trek: Deep Space Nine | Star Trek: The Next Generation | Law & Order | Law & Order: SVU,F/M,,	Alexandra Borgia | Olivia Benson | Noah Porter Benson | Jack McCoy | Ellen Hickle | Jean-Luc Picard | William Riker | Donald Cragen | Amanda Rollins,,Creator Chose Not To Use Archive Warnings | Graphic Depictions Of Violence,Teen And Up Audiences,en,False,,36541,7,, 18,6.0,3.0,245,,,,Star Trek: Argos,
30434799,Star Trek oneshots,genewilderkinnie,Star Trek: The Original Series,Multi,"Leonard ""Bones"" McCoy/Montgomery ""Scotty"" Scott | James T. Kirk/Spock | Janice Rand/Nyota Uhura","Leonard ""Bones"" McCoy | Nyota Uhura | Montgomery ""Scotty"" Scott | Spock (Star Trek) | James T. Kirk | Janice Rand | Crew of the Starship Enterprise",Fluff | Smut | Oneshot Prompts Challenge | I'll literally lose sleep because of this | but these are my babies | Scotty and Uhura must be protected smh | And Scotty has a Master's Degree in Engineering damn it,Creator Chose Not To Use Archive Warnings,not rated,English,False,ongoing,814,5,,2.0,29,1.0,505,,4/28/21,,,
9649487,Star Trek Fanart,Lady_Sci_Fi,Star Trek DS9 | Star Trek: The Next Generation,F/F | M/M,Julian Bashir/Elim Garak || Data/Geordi La Forge,Elim Garak | Julian Bashir | Data (Star Trek) | Geordi La Forge,,No Archive Warnings Apply,Teen And Up Audiences,english,False,,845,114,,237.0,573.0,25.0,14570,,2025-11-08 00:00:00,,,
82069171,STAR TREK VIDEO,DAVID58,Star Trek, No category ,,,Star Trek - Freeform || Star - Freeform || Trek || Trekking || Love || Kids || For Kids || Action || Adventure,No Archive Warnings Apply,General Audiences,English,True,Completed,18,1,1.0,,,,3,,2026-03-29 00:00:00,,,
77983316,Star Trek Arcadia,BlueDragon94, Star Trek ,Gen,,Original Male Human Character(s) | Original Male Trill Character(s) | Original Male Andorian Character(s) | Original Female Vulcan Character(s) | Original Female Bajoran Character(s), No Beta,No Archive Warnings Apply ,Teen And Up Audiences,English,False,ongoing,11581,5,,4.0,1.0,1.0,40,,2026-04-04 00:00:00,,Star Trek Arcadia,
77916971,Star Trek: Oaths,CaptainCarrot,Star Trek,No category,,,Original Character(s) | Critical Analysis | Prime Directive,No Archive Warnings Apply,G,English,True,Completed,423,1,1.0,1.0,,,10,,2026-01-19 00:00:00,,,
66889975,STAR TREK: ODYSSEUS,rand0b0y,Star Trek: Strange New Worlds (TV) | SCP Foundation,Other ,,Christopher Pike | Nyota Uhura | SCP-096 (SCP Foundation) | SCP-079 (SCP Foundation) | SCP-682 (SCP Foundation),Crossover | Character Death | Incident Log | SCP | Strange New Worlds,Graphic Depictions Of Violence | Major Character Death,Teen And Up Audiences,English,True,Completed,4061,1,1.0,2.0,6.0,,107,,2025-06-25 00:00:00,,,
64746706,Star Trek: Skybuilders,KuromaReigon ,Star trek,F/M,Igarashi Kaede/Matsuri Hanamiya | Kuroma Reigon/Aarora Hina,	 Matsuri Hanamiya | Kuroma Reigon | Aarora Hina | Aoi Karuna | Igarashi Kitora | Igarashi Kaede ,Alternate Timelines,No Archive Warnings Apply,Teen And Up Audiences,en,True,Completed,33696,1,1.0,,1,1,53,,4/16/25,,Star Trek AU: Defender,
57306004,Star Trek: Mercenary,Theodorehawkwood,star trek: The Next Generation | Star Trek: Deep Space Nine,F/M,,Ro Laren | Original Male Character(s) | Original Female Character(s) | Simon Tarses | Sam Lavelle | Jenna D'Sora,,Graphic Depictions Of Violence,Teen And Up Audiences,English,False,In Progress,8103, 3,,1.0,4,, 71 ,,2026-03-01 00:00:00,,,
24565915, Star Trek Snippets,Xenobotanist,Star Trek,M/M | F/M,Julian Bashir/Elim Garak | Julian Bashir/Miles O'Brien | Data/other,Julian Bashir / Elim Garak / Miles O'Brien / Odo (Star Trek) / Geordi La Forge / Reginald Barclay / Data (Star Trek), Humor|Fluff|Crack,No Archive Warnings Apply,Teen,english,False,WIP,828,4,, 5,21,,214,,"June 6, 2020",,,
70888946,alexithymia || star trek  ,Elemental_Spinjitzu,Star trek: The Original Series|Star Trek|Star Trek: The Original Series (Movies),F/M ,"Spock/Original Female Character(s) / Leonard ""Bones"" McCoy/Original Female Character(s) / James T. Kirk & Original Female Character(s) / Nyota Uhura & Original Female Character(s)","Original Kirk Character(s) | Original Female Character(s) | Original Alien Character(s) | Original Human Character(s) | James T. Kirk | George Samuel Kirk | Winona Kirk | Spock (Star Trek) | Mirror Spock | Leonard ""Bones"" McCoy | Montgomery ""Scotty"" Scott | Nyota Uhura | Hikaru Sulu | Christine Chapel | Amanda Grayson | Sarek (Star Trek) | Crew of the Starship Enterprise"," Original Alien Race(s) | Minor Original Character(s) | black cat x golden retriever dynamic | grumpy x sunshine dynamic | James T. Kirk & Leonard ""Bones"" McCoy Friendship | Enemies to Friends to Lovers | Enemies to Lovers",Creator Chose Not To Use Archive Warnings | No Archive Warnings Apply,General Audiences,English,False,WIP,795,1,,,2.0,1.0,56,,09/15/2025,,the alien and the human,
197462, star trek songfics ,EARLGREYRAVEN,Star Trek (2009),F/M; M/M,Spock/James T. Kirk | Spock/Nyota Uhura,Spock / James T. Kirk / Nyota Uhura / Leonard McCoy, Angst | Character Death | Friendship | Romance | Slash | Humor | Genderswap | Music ,Creator Chose Not To Use Archive Warnings,Teen And Up Audiences,English,True,Completed,1863,11,11.0,,21.0,3,750,,2013-03-18,,,
15378168,Star Trek Endeavor ,DRZEVIL,Star Trek Online | Star Trek,F/F || F/M || Gen,,,,Creator Chose Not To Use Archive Warnings,Mature,English,True,Completed,66856,14,14.0,4.0,5.0,1.0,198,,2019-04-19 00:00:00,,Star Trek Endeavor,
